,Kod stacji,Nazwa stacji,Rok,Średnia temperatura maksymalna [°C],Średnia temperatura minimalna [°C],Minimalna temperatura przy gruncie [°C],Miesięczna suma opadów [mm],Miesięczna suma usłonecznienia,Liczba dni z opadem deszczu
0,349190600,BIELSKO-BIAŁA,2022,23.325,12.675,5.85,98.85,249.075,13.5
1,349190600,BIELSKO-BIAŁA,2023,22.325,12.3,3.75,101.625,237.425,13.5
2,349190625,ZAKOPANE,2022,21.15,9.975,3.5,113.5,214.575,14.75
3,349190625,ZAKOPANE,2023,20.3,9.549999999999999,1.35,155.6,208.45,15.25
4,349190650,KASPROWY WIERCH,2022,12.15,5.625,0.0,131.925,182.825,15.0
5,349190650,KASPROWY WIERCH,2023,11.0,5.15,0.0,165.825,177.775,13.5
6,349200628,HALA GĄSIENICOWA,2022,15.45,7.574999999999999,0.2749999999999999,154.275,171.325,16.25
7,349200628,HALA GĄSIENICOWA,2023,14.65,7.125,-1.3,196.77499999999998,166.15,16.0
8,349200660,NOWY SĄCZ,2022,25.1,12.4,5.075,70.2,263.925,10.25
9,349200660,NOWY SĄCZ,2023,23.625,12.0,4.324999999999999,109.95,236.025,12.5
10,349210670,KROSNO,2022,24.125,12.725,5.775,54.6,274.2,10.75
11,349210670,KROSNO,2023,22.6,12.55,5.475,91.225,238.925,13.0
12,349220690,LESKO,2022,23.675,11.7,5.35,51.25,255.1,12.25
13,349220690,LESKO,2023,22.3,11.8,4.775,79.75,216.375,15.25
14,350150500,JELENIA GÓRA,2022,23.75,9.65,1.1500000000000001,73.625,280.825,13.25
15,350150500,JELENIA GÓRA,2023,22.575,9.350000000000001,0.5250000000000001,81.9,277.25,14.75
16,350150510,ŚNIEŻKA,2022,12.35,6.675,0.0,94.875,231.075,15.75
17,350150510,ŚNIEŻKA,2023,11.275,5.975,0.0,98.15,217.525,17.5
18,350160520,KŁODZKO,2022,23.3,10.575,3.125,84.975,261.2,13.0
19,350160520,KŁODZKO,2023,22.325,10.35,1.275,80.75,233.525,14.5
20,350170530,OPOLE,2022,25.55,12.8,6.05,110.05,279.625,11.75
21,350170530,OPOLE,2023,24.299999999999997,12.55,4.55,77.575,264.75,13.0
22,350180540,RACIBÓRZ,2022,24.65,12.275,4.375,84.925,286.7,11.5
23,350180540,RACIBÓRZ,2023,23.7,12.025,3.25,62.074999999999996,262.40000000000003,12.0
24,350190550,CZĘSTOCHOWA,2022,24.15,13.175,6.625,68.85,202.2,12.0
25,350190550,CZĘSTOCHOWA,2023,23.15,12.7,4.25,79.0,250.7,12.25
26,350190560,KATOWICE-MUCHOWIEC,2022,24.45,12.125,4.65,87.375,263.975,11.0
27,350190560,KATOWICE-MUCHOWIEC,2023,23.25,11.925,3.1,83.225,175.95,12.5
28,350190566,KRAKÓW-BALICE,2022,24.875,12.7,5.0,69.425,0.0,11.25
29,350190566,KRAKÓW-BALICE,2023,23.4,12.25,3.75,76.575,0.0,12.75
30,350200570,KIELCE-SUKÓW,2022,24.475,11.325,3.575,49.35,271.85,10.75
31,350200570,KIELCE-SUKÓW,2023,23.325000000000003,11.125,2.95,69.8,245.325,12.25
32,350200575,TARNÓW,2022,25.95,12.875,5.75,44.025,268.6,10.25
33,350200575,TARNÓW,2023,24.275,12.625,5.0,97.65,246.55,13.25
34,350210585,SANDOMIERZ,2022,24.725,13.175,6.4,55.825,302.825,9.75
35,350210585,SANDOMIERZ,2023,23.375,12.85,5.5,83.925,266.09999999999997,13.25
36,350220580,RZESZÓW-JASIONKA,2022,25.575000000000003,12.325,5.550000000000001,43.025,0.0,9.25
37,350220580,RZESZÓW-JASIONKA,2023,24.05,12.35,4.3,57.975,0.0,12.0
38,350230595,ZAMOŚĆ,2022,24.325,11.525,4.45,56.599999999999994,0.0,11.0
39,350230595,ZAMOŚĆ,2023,23.4,11.524999999999999,3.6500000000000004,77.025,0.0,12.0
40,351150400,ZIELONA GÓRA,2022,24.675,14.275,8.075,38.325,282.65,10.0
41,351150400,ZIELONA GÓRA,2023,23.275,13.55,6.800000000000001,61.375,270.1,10.75
42,351160415,LEGNICA,2022,25.525,12.25,3.65,66.9,282.95,11.75
43,351160415,LEGNICA,2023,23.95,11.7,3.35,67.44999999999999,270.35,13.5
44,351160418,LESZNO,2022,25.275,12.125,2.7,56.375,277.4,8.5
45,351160418,LESZNO,2023,23.825,11.45,1.7500000000000002,67.175,269.475,12.0
46,351160424,WROCŁAW-STRACHOWICE,2022,25.8,12.95,3.425,64.05,286.775,11.0
47,351160424,WROCŁAW-STRACHOWICE,2023,24.625,12.5,2.775,76.525,267.05,12.5
48,351180435,KALISZ,2022,24.65,13.325,4.625,60.45,268.525,12.0
49,351180435,KALISZ,2023,23.975,13.025,2.3000000000000003,42.3,254.5,12.25
50,351180455,WIELUŃ,2022,24.475,12.75,3.875,80.55,164.75,12.5
51,351180455,WIELUŃ,2023,23.925,12.35,2.2750000000000004,51.8,253.725,12.5
52,351190465,ŁÓDŹ-LUBLINEK,2022,24.075,11.5,1.4,65.6,273.875,11.5
53,351190465,ŁÓDŹ-LUBLINEK,2023,23.8,11.275,0.2749999999999999,47.199999999999996,272.8,12.5
54,351190469,SULEJÓW,2022,24.275,11.7,3.55,60.65,296.525,11.5
55,351190469,SULEJÓW,2023,23.65,11.350000000000001,2.075,56.525,274.9,12.5
56,351210488,KOZIENICE,2022,24.8,11.125,3.375,48.7,221.075,10.0
57,351210488,KOZIENICE,2023,24.325,10.9,2.15,52.475,280.2,12.75
58,351220495,LUBLIN-RADAWIEC,2022,23.9,12.075,3.15,42.375,293.525,8.75
59,351220495,LUBLIN-RADAWIEC,2023,23.075,12.0,3.5999999999999996,66.57499999999999,275.2,12.0
60,351230497,WŁODAWA,2022,24.2,12.175,4.525,71.35,307.45,9.5
61,351230497,WŁODAWA,2023,23.625,12.0,3.4749999999999996,72.975,292.75,11.5
62,352140310,SŁUBICE,2022,25.625,12.85,3.2249999999999996,41.05,278.825,11.25
63,352140310,SŁUBICE,2023,23.875,12.175,2.675,62.125,267.325,10.5
64,352150300,GORZÓW WIELKOPOLSKI,2022,24.8,13.225,5.15,40.6,257.525,10.5
65,352150300,GORZÓW WIELKOPOLSKI,2023,23.55,12.65,3.95,65.225,244.6,12.0
66,352160330,POZNAŃ-ŁAWICA,2022,25.35,13.375,3.7,40.375,234.725,10.75
67,352160330,POZNAŃ-ŁAWICA,2023,24.125,12.575,4.0,71.5,273.825,13.0
68,352190360,PŁOCK,2022,23.4,12.3,2.75,54.400000000000006,261.925,11.0
69,352190360,PŁOCK,2023,23.5,11.625,2.15,45.125,268.325,11.5
70,352200375,WARSZAWA-OKĘCIE,2022,24.5,13.575,4.275,49.65,0.0,9.5
71,352200375,WARSZAWA-OKĘCIE,2023,24.375,12.975,3.4,54.8,300.5,11.0
72,352220385,SIEDLCE,2022,23.975,11.5,2.175,47.075,288.85,11.5
73,352220385,SIEDLCE,2023,23.675,11.225,1.875,52.025,280.0,13.5
74,352230399,TERESPOL,2022,24.225,11.85,2.975,67.225,303.8,9.0
75,352230399,TERESPOL,2023,23.775,11.725,2.8,61.599999999999994,226.575,13.25
76,353140200,ŚWINOUJŚCIE,2022,21.775,13.175,6.0,45.650000000000006,266.65000000000003,12.5
77,353140200,ŚWINOUJŚCIE,2023,20.725,12.425,4.025,56.599999999999994,269.55,13.5
78,353140205,SZCZECIN,2022,23.775,12.275,3.075,51.075,207.375,11.0
79,353140205,SZCZECIN,2023,22.7,11.375,2.125,56.725,264.05,11.5
80,353150210,RESKO-SMÓLSKO,2022,16.85,7.875,1.4,58.625,62.3,13.25
81,353150210,RESKO-SMÓLSKO,2023,22.275,9.95,1.875,65.725,62.6,14.5
82,353160230,PIŁA,2022,24.525,11.975,2.05,42.475,274.8,9.75
83,353160230,PIŁA,2023,23.4,11.175,1.175,63.075,266.95,12.5
84,353170235,CHOJNICE,2022,22.575,11.7,4.1,47.5,271.3,12.25
85,353170235,CHOJNICE,2023,22.275,10.925,2.95,59.975,269.95,12.25
86,353180250,TORUŃ,2022,24.75,12.25,1.875,65.425,260.9,12.0
87,353180250,TORUŃ,2023,24.325,11.65,0.6999999999999997,47.725,259.84999999999997,11.75
88,353200270,MŁAWA,2022,23.775,12.25,3.6,47.5,228.575,9.75
89,353200270,MŁAWA,2023,23.825000000000003,11.95,3.725,45.975,231.4,10.75
90,353200272,OLSZTYN,2022,23.1,11.725,3.325,56.1,0.0,14.5
91,353200272,OLSZTYN,2023,23.2,11.425,2.275,53.075,0.0,11.75
92,353210280,MIKOŁAJKI,2022,22.9,12.575,5.475,66.375,277.67499999999995,12.25
93,353210280,MIKOŁAJKI,2023,23.2,12.5,4.675,60.225,280.8,10.5
94,353230295,BIAŁYSTOK,2022,23.125,11.149999999999999,2.625,63.55,141.025,12.0
95,353230295,BIAŁYSTOK,2023,23.375,10.775,1.725,47.849999999999994,145.575,10.75
96,354150100,KOŁOBRZEG-DŹWIRZYNO,2022,20.375,13.4,8.375,40.574999999999996,290.65,10.75
97,354150100,KOŁOBRZEG-DŹWIRZYNO,2023,19.475,12.3,6.800000000000001,86.375,288.35,13.25
98,354160105,KOSZALIN,2022,21.675,12.9,3.1,47.575,272.1,12.0
99,354160105,KOSZALIN,2023,20.875,11.85,2.775,85.475,276.85,14.5
100,354160115,USTKA,2022,20.225,13.7,7.800000000000001,39.15,308.1,10.25
101,354160115,USTKA,2023,19.175,12.275,6.15,77.60000000000001,307.9,12.75
102,354170120,ŁEBA,2022,21.0,12.3,1.4,42.3,305.925,11.5
103,354170120,ŁEBA,2023,20.075,10.899999999999999,1.7,53.375,301.5,12.5
104,354170125,LĘBORK,2022,22.575,11.425,1.275,60.7,271.575,16.0
105,354170125,LĘBORK,2023,22.225,10.875,0.55,47.825,279.55,13.0
106,354180135,HEL,2022,20.825,13.375,5.15,49.25,275.05,13.75
107,354180135,HEL,2023,20.525,12.825,5.125,65.85,233.175,12.25
108,354180155,GDAŃSK-ŚWIBNO,2022,21.75,12.8,4.95,50.125,271.9,13.5
109,354180155,GDAŃSK-ŚWIBNO,2023,21.525,12.274999999999999,4.2,51.675,284.02500000000003,12.0
110,354190160,ELBLĄG-MILEJEWO,2022,20.65,12.575,5.6,79.6,275.475,15.25
111,354190160,ELBLĄG-MILEJEWO,2023,20.875,12.325000000000001,4.425,62.775000000000006,296.9,13.0
112,354210185,KĘTRZYN,2022,23.125,11.6,2.975,50.675000000000004,250.125,14.25
113,354210185,KĘTRZYN,2023,23.575,11.35,2.15,46.75,188.05,13.0
114,354220195,SUWAŁKI,2022,22.0,11.025,1.75,90.95,229.8,11.75
115,354220195,SUWAŁKI,2023,22.725,10.55,0.4750000000000001,47.25,245.975,11.5
